hut_name,fetch_datetime,booking_date,num_available,rooms
Rifugio Fanes,2024-08-31 09:33:14.558432,2024-09-10,0,{}
Rifugio Fanes,2024-08-31 09:33:14.558432,2024-09-11,0,{}
Rifugio Fanes,2024-08-31 09:33:14.558432,2024-09-12,0,{}
Rifugio Fanes,2024-08-31 09:33:14.558432,2024-09-13,0,{}
Rifugio Fanes,2024-08-31 09:33:14.558432,2024-09-14,0,{}
Rifugio Fanes,2024-08-31 09:33:14.558432,2024-09-15,0,{}
Rifugio Fanes,2024-08-31 09:33:14.558432,2024-09-16,0,{}
Rifugio Fanes,2024-08-31 09:33:14.558432,2024-09-17,0,{}
Rifugio Fanes,2024-08-31 09:33:14.558432,2024-09-18,0,{}
Rifugio Fanes,2024-08-31 09:33:14.558432,2024-09-19,5,{5: 1}
Rifugio Fanes,2024-08-31 09:33:14.558432,2024-09-20,2,{2: 1}
Rifugio Fanes,2024-08-31 09:33:14.558432,2024-09-21,4,"{1: 2, 2: 1}"
Rifugio Fanes,2024-08-31 09:33:14.558432,2024-09-22,16,"{5: 1, 3: 1, 4: 2}"
Rifugio Fanes,2024-08-31 09:33:14.558432,2024-09-23,4,{4: 1}
Rifugio Fanes,2024-08-31 09:33:14.558432,2024-09-24,7,"{2: 1, 5: 1}"
Rifugio Fanes,2024-08-31 09:33:14.558432,2024-09-25,16,"{1: 4, 5: 1, 3: 1, 4: 1}"
Rifugio Fanes,2024-08-31 09:33:14.558432,2024-09-26,10,"{1: 2, 5: 1, 3: 1}"
Rifugio Fanes,2024-08-31 09:33:14.558432,2024-09-27,8,"{3: 1, 5: 1}"
Rifugio Fanes,2024-08-31 09:33:14.558432,2024-09-28,4,"{1: 1, 3: 1}"
Alpine Guesthouse / Pederü,2024-08-31 09:33:14.558432,2024-09-10,0,{}
Alpine Guesthouse / Pederü,2024-08-31 09:33:14.558432,2024-09-11,0,{}
Alpine Guesthouse / Pederü,2024-08-31 09:33:14.558432,2024-09-12,0,{}
Alpine Guesthouse / Pederü,2024-08-31 09:33:14.558432,2024-09-13,0,{}
Alpine Guesthouse / Pederü,2024-08-31 09:33:14.558432,2024-09-14,2,{1: 2}
Alpine Guesthouse / Pederü,2024-08-31 09:33:14.558432,2024-09-15,0,{}
Alpine Guesthouse / Pederü,2024-08-31 09:33:14.558432,2024-09-16,0,{}
Alpine Guesthouse / Pederü,2024-08-31 09:33:14.558432,2024-09-17,5,{1: 5}
Alpine Guesthouse / Pederü,2024-08-31 09:33:14.558432,2024-09-18,0,{}
Alpine Guesthouse / Pederü,2024-08-31 09:33:14.558432,2024-09-19,12,"{1: 8, 4: 1}"
Alpine Guesthouse / Pederü,2024-08-31 09:33:14.558432,2024-09-20,5,{1: 5}
Alpine Guesthouse / Pederü,2024-08-31 09:33:14.558432,2024-09-21,8,{1: 8}
Alpine Guesthouse / Pederü,2024-08-31 09:33:14.558432,2024-09-22,4,{4: 1}
Alpine Guesthouse / Pederü,2024-08-31 09:33:14.558432,2024-09-23,3,{1: 3}
Alpine Guesthouse / Pederü,2024-08-31 09:33:14.558432,2024-09-24,8,{1: 8}
Alpine Guesthouse / Pederü,2024-08-31 09:33:14.558432,2024-09-25,12,"{1: 8, 4: 1}"
Alpine Guesthouse / Pederü,2024-08-31 09:33:14.558432,2024-09-26,5,{1: 5}
Alpine Guesthouse / Pederü,2024-08-31 09:33:14.558432,2024-09-27,22,"{1: 8, 2: 3, 4: 2}"
Alpine Guesthouse / Pederü,2024-08-31 09:33:14.558432,2024-09-28,22,"{1: 7, 2: 2, 3: 1, 4: 2}"
Rifugio Fodara Vedla,2024-08-31 09:33:14.558432,2024-09-10,0,{}
Rifugio Fodara Vedla,2024-08-31 09:33:14.558432,2024-09-11,2,{2: 1}
Rifugio Fodara Vedla,2024-08-31 09:33:14.558432,2024-09-12,0,{}
Rifugio Fodara Vedla,2024-08-31 09:33:14.558432,2024-09-13,0,{}
Rifugio Fodara Vedla,2024-08-31 09:33:14.558432,2024-09-14,0,{}
Rifugio Fodara Vedla,2024-08-31 09:33:14.558432,2024-09-15,0,{}
Rifugio Fodara Vedla,2024-08-31 09:33:14.558432,2024-09-16,0,{}
Rifugio Fodara Vedla,2024-08-31 09:33:14.558432,2024-09-17,0,{}
Rifugio Fodara Vedla,2024-08-31 09:33:14.558432,2024-09-18,0,{}
Rifugio Fodara Vedla,2024-08-31 09:33:14.558432,2024-09-19,15,"{2: 1, 3: 1, 5: 2}"
